CUST_ID,TENURE,BALANCE_interval,PURCHASES_interval,ONEOFF_PURCHASES_interval,INSTALLMENTS_PURCHASES_interval,CASH_ADVANCE_interval,CREDIT_LIMIT_interval,PAYMENTS_interval,MINIMUM_PAYMENTS_interval,PURCHASES_TRX_interval,CASH_ADVANCE_TRX_interval,BALANCE_FREQUENCY_interval,PURCHASES_FREQUENCY_interval,ONEOFF_PURCHASES_FREQUENCY_interval,PURCHASES_INSTALLMENTS_FREQUENCY_interval,CASH_ADVANCE_FREQUENCY_interval,PRC_FULL_PAYMENT_interval,Cluster
C10052,8.0,0,2,2,1,5,6,5,3,2,0,10,7,4,3,9,0,4
C10053,12.0,3,0,3,2,0,3,3,3,4,0,10,7,6,5,0,0,5
C10054,12.0,3,0,0,0,1,0,2,2,0,1,10,0,0,0,3,0,1
C10055,9.0,1,3,3,0,3,3,0,1,3,1,9,7,7,0,2,2,0
C10056,12.0,1,1,0,1,0,2,1,1,2,0,7,7,0,7,0,0,2
C10057,12.0,3,3,3,0,0,5,0,1,2,0,10,3,3,0,0,0,0
C10058,12.0,0,1,1,0,2,0,0,6,1,1,10,3,3,0,5,0,1
C10059,12.0,3,5,0,1,0,5,5,3,0,0,10,10,10,5,0,1,5
C10060,11.0,0,0,0,0,1,0,2,3,0,1,10,0,0,0,2,0,1
C10061,12.0,5,1,0,1,2,5,3,3,2,1,10,5,0,4,4,0,4
C10062,12.0,3,1,1,0,0,5,0,2,1,0,8,2,2,0,0,0,0
C10063,12.0,3,1,1,0,0,3,1,2,1,0,10,1,1,0,0,0,0
C10064,11.0,2,0,0,0,0,0,0,1,0,2,10,0,0,0,6,1,1
C10065,12.0,1,2,2,0,0,3,0,1,1,0,1,1,1,0,0,0,3
C10067,12.0,3,3,0,3,3,3,0,0,7,1,10,10,0,10,1,1,2
C10068,12.0,3,1,1,1,0,3,2,2,3,0,10,6,4,2,0,0,0
C10069,8.0,2,0,0,0,2,3,1,1,0,1,9,0,0,0,2,0,1
C10070,12.0,3,0,0,0,1,3,2,1,0,2,10,0,0,0,5,0,1
C10071,12.0,0,1,1,1,0,5,5,3,2,0,10,7,1,6,0,1,2
C10072,12.0,3,3,3,0,0,3,3,2,1,0,10,4,4,0,0,0,0
C10073,12.0,5,1,0,1,2,5,3,3,3,1,10,10,0,9,4,0,4
C10074,12.0,3,0,3,3,6,5,6,3,0,5,10,7,5,6,9,5,4
C10075,8.0,2,0,0,0,3,5,2,1,0,1,10,0,0,0,2,3,1
C10077,10.0,3,2,2,1,0,3,2,2,2,0,10,5,1,4,0,0,0
C10078,11.0,2,2,2,1,0,5,3,1,2,0,10,3,1,2,0,0,0
C10079,12.0,5,2,1,1,0,5,3,3,3,0,10,9,2,8,0,0,2
C10080,12.0,3,2,2,0,0,6,3,2,4,0,10,10,10,0,0,0,5
C10081,12.0,2,1,0,1,0,3,3,1,2,0,10,8,0,7,0,0,2
C10082,12.0,3,0,0,0,1,3,1,5,0,1,10,0,0,0,1,0,1
C10083,12.0,5,1,1,0,0,5,3,3,2,2,10,6,6,0,5,0,4
C10084,12.0,1,1,1,1,0,0,1,1,3,0,10,7,2,6,0,2,2
C10085,12.0,1,0,0,0,3,5,1,1,0,1,3,0,0,0,2,0,3
C10086,12.0,1,1,1,1,0,6,1,1,1,0,7,5,2,3,0,5,3
C10087,12.0,1,1,0,1,0,3,2,1,3,0,6,5,0,5,0,10,3
C10088,12.0,3,0,0,1,1,5,0,2,0,1,10,10,10,4,1,0,0
C10089,12.0,1,3,3,0,0,6,3,1,5,0,10,10,10,0,0,10,5
C10090,12.0,5,3,3,1,5,6,0,3,5,5,10,10,9,10,8,0,4
C10092,12.0,5,3,3,2,5,6,0,3,7,5,10,10,8,10,8,0,4
C10093,12.0,0,1,1,0,1,0,3,2,1,1,10,1,1,0,1,0,0
C10094,12.0,5,0,0,0,3,5,3,3,0,3,10,0,0,0,5,0,1
C10095,12.0,5,5,3,0,1,5,5,5,0,1,10,10,3,10,1,0,4
C10096,11.0,3,3,1,2,0,0,0,2,4,5,10,10,1,9,6,1,4
C10097,12.0,3,1,1,0,1,3,1,1,1,1,10,1,1,0,1,0,0
C10098,12.0,3,1,1,0,0,3,0,1,1,0,10,2,2,0,0,0,0
C10099,12.0,3,1,1,0,0,3,0,5,1,0,10,3,3,0,0,0,0
C10100,12.0,3,0,0,0,1,3,1,3,0,1,10,0,0,0,1,0,1
C10101,12.0,3,2,2,0,0,5,1,1,3,0,10,7,7,0,0,0,0
C10102,12.0,0,0,0,0,3,0,0,3,0,2,10,0,0,0,5,0,1
C10103,12.0,1,1,0,1,0,5,1,1,1,0,4,3,0,2,0,10,3
C10104,7.0,0,0,0,0,1,3,1,1,0,1,0,0,0,0,2,0,3
C10105,9.0,1,1,1,0,0,3,1,1,1,0,7,2,2,0,0,0,3
C10106,12.0,1,3,0,3,0,3,2,1,3,0,3,10,0,10,0,0,2
C10107,12.0,0,3,3,3,0,5,5,3,7,0,10,10,10,9,0,1,5
C10108,12.0,1,1,0,1,0,0,0,1,0,0,1,10,0,10,0,0,3
C10109,12.0,2,0,0,0,2,0,3,1,0,1,10,0,0,0,1,1,1
C10110,12.0,3,2,2,0,2,0,2,3,1,2,10,3,3,0,4,0,1
C10111,12.0,1,2,0,2,0,3,3,1,3,0,10,10,0,10,0,1,2
C10112,12.0,0,0,0,0,5,5,3,3,0,0,10,0,0,0,6,0,1
C10113,12.0,3,1,1,1,1,3,2,1,2,1,10,7,2,5,1,0,0
C10114,12.0,5,0,3,3,5,5,6,3,7,5,10,10,10,10,6,1,4
C10115,12.0,1,3,2,2,0,5,2,1,0,0,9,10,4,9,0,0,5
C10116,12.0,0,0,0,0,3,0,0,2,0,1,10,0,0,0,1,0,1
C10117,12.0,5,3,2,3,3,5,3,3,7,2,10,10,3,10,4,0,4
C10118,12.0,5,0,0,0,0,5,3,3,0,3,10,0,0,0,3,0,1
C10119,12.0,1,3,3,1,0,0,3,1,3,0,9,7,5,4,0,10,5
C10120,12.0,2,3,2,1,0,3,2,1,5,0,10,10,6,10,0,0,5
C10121,12.0,1,3,0,3,0,5,3,1,3,0,7,6,0,5,0,4,2
C10122,12.0,3,0,0,0,2,3,2,3,0,2,10,0,0,0,3,0,1
C10123,12.0,1,1,0,1,0,5,3,1,1,0,3,2,0,2,0,10,3
C10124,12.0,3,0,0,0,2,3,2,2,0,1,10,0,0,0,4,0,1
C10125,12.0,5,5,0,3,3,6,3,3,7,2,10,10,10,10,5,0,4
C10126,12.0,3,3,3,0,0,5,0,1,2,0,10,3,3,0,0,0,0
C10127,12.0,3,5,0,5,0,5,0,2,7,0,10,10,0,10,0,0,2
C10128,12.0,3,0,0,0,2,0,3,3,0,1,10,0,0,0,2,0,1
C10130,12.0,6,0,0,0,0,6,0,0,0,2,10,0,0,0,4,0,1
C10131,12.0,3,6,6,0,0,3,6,3,8,0,10,10,10,0,0,0,5
C10132,8.0,1,0,0,0,1,3,1,1,0,1,8,0,0,0,2,2,1
C10133,12.0,0,3,3,2,0,0,3,3,4,0,10,9,2,6,0,0,5
C10134,12.0,6,1,1,0,5,6,3,3,1,3,10,1,1,0,5,0,4
C10135,12.0,1,0,0,0,3,6,0,1,0,1,1,0,0,0,1,0,3
C10136,12.0,1,2,2,0,1,0,0,1,2,1,3,3,3,0,1,0,3
C10137,12.0,0,3,1,2,0,0,3,0,0,0,10,9,3,9,0,0,2
C10138,12.0,1,1,0,1,0,3,1,1,2,0,7,6,0,5,0,0,3
C10139,12.0,5,2,2,0,6,6,6,3,1,4,10,1,1,0,7,1,4
C10140,12.0,1,1,0,1,0,0,2,1,5,0,10,10,0,10,0,0,2
C10141,12.0,3,3,3,1,0,3,3,2,2,0,10,5,2,3,0,0,0
C10142,12.0,3,5,3,0,0,6,3,2,7,0,10,10,5,10,0,0,5
C10143,12.0,2,2,2,1,2,3,2,1,4,1,10,10,4,10,3,0,5
C10144,12.0,6,6,5,6,0,6,6,6,8,0,10,10,8,10,0,0,5
C10145,12.0,3,2,2,0,2,3,3,2,3,1,10,10,10,0,1,0,5
C10146,12.0,2,1,1,1,0,2,1,2,1,0,10,4,3,2,0,0,0
C10147,12.0,2,0,0,0,3,5,3,1,0,1,9,0,0,0,2,0,1
C10148,12.0,5,0,0,0,0,5,0,3,0,2,10,0,0,0,5,0,1
C10149,12.0,6,3,3,2,0,6,0,0,3,0,10,7,5,6,0,0,5
C10150,12.0,3,5,0,3,0,5,0,2,7,0,10,10,10,10,0,0,5
C10151,12.0,0,3,3,0,0,5,2,2,1,0,10,1,1,0,0,0,0
C10152,12.0,1,2,0,2,0,5,2,1,2,0,10,9,0,9,0,0,2
C10153,12.0,1,1,1,0,1,5,3,1,1,1,10,1,1,0,1,1,0
C10154,12.0,3,2,1,2,0,3,3,2,2,0,10,5,3,5,0,0,0
C10155,12.0,2,3,1,2,1,6,3,1,3,1,10,9,1,9,1,1,2
C10156,12.0,5,0,0,0,2,5,0,6,3,2,10,6,0,5,2,0,4
C10157,12.0,3,0,0,2,0,5,3,1,0,0,10,10,10,10,0,0,2
C10158,12.0,1,2,0,2,0,5,2,1,5,0,10,10,0,10,0,10,2
C10159,12.0,6,5,0,5,3,6,6,5,8,5,10,10,8,10,8,0,4
C10160,12.0,1,3,2,3,0,0,3,1,0,0,7,10,5,10,0,7,2
C10161,12.0,1,3,0,3,0,6,0,1,1,0,4,4,0,3,0,3,3
C10162,12.0,5,0,0,1,0,5,0,3,0,3,10,10,10,5,8,0,4
C10163,12.0,3,0,0,0,1,3,1,3,0,1,10,0,0,0,2,0,1
C10164,12.0,3,5,5,3,0,6,6,3,7,0,10,10,10,7,0,3,5
C10165,12.0,3,1,1,0,1,3,1,1,1,1,10,1,1,0,1,0,0
C10166,12.0,3,0,0,0,1,3,2,2,0,1,10,0,0,0,5,0,1
C10167,12.0,0,0,0,0,2,5,3,3,0,1,10,0,0,0,1,0,1
C10168,12.0,2,2,1,2,0,3,3,1,5,0,10,10,1,10,0,0,2
C10169,12.0,3,2,2,1,0,0,1,2,1,0,10,3,1,2,0,0,0
C10170,6.0,1,1,0,1,0,2,1,1,2,0,10,10,0,9,0,5,2
C10171,12.0,5,0,0,0,1,5,3,3,0,1,10,0,0,0,1,0,1
C10172,12.0,2,1,0,1,0,5,3,1,3,0,4,10,0,10,0,0,2
C10173,12.0,2,5,0,2,3,6,0,1,0,1,10,10,7,8,1,10,5
C10174,12.0,3,2,0,2,0,2,3,3,3,0,10,10,0,10,0,0,2
C10175,12.0,1,3,3,2,0,0,3,1,4,0,10,7,5,4,0,0,5
C10176,9.0,2,0,0,0,0,0,0,1,0,1,7,0,0,0,3,0,1
C10177,12.0,2,6,5,0,3,6,6,1,8,4,10,10,10,9,6,8,5
C10178,12.0,1,1,0,1,0,6,1,1,1,0,4,3,0,2,0,2,3
C10179,7.0,3,0,0,0,0,3,3,1,0,2,9,0,0,0,3,2,1
C10180,12.0,6,5,0,3,3,6,0,0,7,1,10,10,10,10,2,0,5
C10181,12.0,3,0,0,0,1,3,1,1,0,1,10,0,0,0,2,0,1
C10182,12.0,3,2,2,0,3,3,0,1,3,1,10,9,9,0,3,0,0
C10183,12.0,3,0,0,0,3,3,3,3,0,3,10,0,0,0,6,0,1
C10184,12.0,1,0,3,3,0,6,3,1,0,0,10,10,5,10,0,10,5
C10185,12.0,1,1,0,1,0,5,2,1,1,0,5,5,0,5,0,2,3
C10186,12.0,2,3,1,3,0,3,3,1,0,0,10,10,4,10,0,0,2
C10187,12.0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,3
C10188,12.0,3,1,0,1,6,0,6,2,1,5,10,3,0,2,8,2,4
C10189,12.0,1,1,1,1,0,6,0,1,1,0,1,1,1,1,0,0,3
C10190,12.0,1,2,1,1,0,5,1,1,3,0,10,7,5,5,0,0,0
C10191,12.0,1,3,0,3,0,3,3,1,5,0,9,9,0,8,0,2,2
C10192,12.0,3,1,0,1,3,5,3,1,1,1,10,2,0,2,3,0,1
C10193,12.0,2,2,1,1,0,2,2,2,5,0,10,10,4,10,0,0,2
C10194,12.0,2,2,2,0,1,3,0,3,2,1,10,5,5,0,1,0,0
C10196,12.0,2,1,1,0,2,3,1,1,3,1,10,4,4,0,1,0,0
C10197,12.0,1,1,1,0,0,5,1,1,1,0,8,3,3,0,0,1,0
C10198,12.0,1,1,1,0,0,5,0,1,1,0,10,1,1,0,0,0,0
C10199,12.0,1,1,1,0,3,0,3,1,1,1,4,1,1,0,1,1,3
C10200,12.0,5,3,0,3,0,6,3,3,4,0,10,5,0,5,0,0,2
C10201,12.0,0,2,2,0,0,0,3,3,3,0,10,5,5,0,0,0,0
C10202,12.0,5,0,2,3,0,6,3,3,0,0,10,10,2,9,0,0,2
C10203,12.0,1,0,1,0,0,5,3,1,0,0,9,8,1,7,0,9,2
C10204,12.0,1,3,3,1,0,6,3,1,0,0,10,10,10,6,0,6,5
C10205,12.0,3,2,2,0,0,5,2,2,1,0,10,2,2,0,0,0,0
C10206,12.0,5,1,0,1,3,5,3,0,1,3,10,2,0,2,8,0,1
C10207,12.0,1,1,1,0,0,6,3,1,1,0,5,2,2,0,0,0,3
C10208,12.0,2,1,1,1,3,3,3,1,3,2,10,5,2,5,4,0,4
C10209,12.0,1,1,0,1,0,0,1,1,2,0,10,9,0,9,0,9,2
C10211,12.0,5,3,2,3,2,6,0,3,2,1,10,4,2,2,1,0,4
C10212,12.0,0,6,5,3,0,5,5,3,8,0,10,10,7,10,0,0,5
C10213,12.0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,3
C10214,12.0,3,2,2,0,3,3,3,2,1,2,10,2,2,0,5,0,1
C10215,12.0,5,2,2,1,5,6,3,3,2,4,10,4,4,1,3,0,4
C10216,12.0,5,3,2,1,0,6,3,3,5,2,10,9,6,7,5,0,4
C10217,12.0,1,2,2,1,0,0,3,1,1,0,5,3,1,2,0,3,3
C10218,12.0,5,1,1,1,5,5,3,3,3,5,10,10,10,2,8,0,4
C10219,12.0,0,2,2,1,0,5,3,2,2,0,10,5,5,1,0,0,0
C10220,12.0,3,0,0,0,1,5,0,2,0,1,9,0,0,0,1,0,1
C10221,12.0,2,1,1,0,0,5,2,1,2,0,10,8,8,0,0,0,0
C10222,12.0,1,2,0,2,0,0,2,1,1,0,8,3,0,2,0,0,0
C10223,12.0,1,1,0,1,0,5,0,1,1,0,2,2,0,1,0,0,3
C10224,12.0,3,2,1,2,1,3,2,1,0,1,10,10,2,10,1,0,2
C10226,12.0,1,1,1,1,0,6,1,1,2,0,6,4,1,2,0,2,3
C10227,12.0,3,1,1,1,3,3,3,3,2,4,10,5,4,3,9,0,4
C10228,12.0,3,0,0,3,1,5,5,2,7,1,10,10,10,10,1,0,5
C10229,12.0,5,6,5,5,0,5,6,5,8,0,10,10,8,10,0,0,5
C10230,12.0,0,3,3,1,0,5,2,2,4,0,10,10,10,1,0,0,5
C10231,7.0,1,1,1,0,0,3,1,1,1,0,9,2,2,0,0,0,0
C10232,12.0,5,3,3,1,0,6,3,3,5,0,10,10,10,8,0,0,5
C10233,12.0,5,5,5,0,0,5,6,3,1,0,10,4,4,0,0,0,5
C10234,12.0,1,1,1,0,0,0,1,1,1,0,10,1,1,0,0,0,0
C10235,12.0,0,3,1,3,0,0,3,0,0,0,10,10,5,9,0,0,2
C10236,12.0,0,3,3,2,0,5,3,2,5,0,10,9,5,8,0,0,5
C10237,9.0,1,0,0,0,1,3,3,1,0,1,4,0,0,0,2,5,3
C10238,12.0,3,6,3,5,0,6,5,2,0,0,10,8,7,6,0,4,5
C10239,12.0,3,2,1,2,0,3,2,1,3,0,10,8,3,6,0,0,2
C10240,12.0,1,0,0,0,0,3,3,3,3,0,10,10,0,10,0,1,2
C10241,12.0,3,3,3,0,3,5,3,1,5,1,10,10,10,0,1,0,5
C10242,12.0,3,1,1,0,0,3,2,2,1,0,10,1,1,0,0,0,0
C10243,12.0,3,3,3,3,1,3,3,3,0,1,10,9,7,8,1,0,5
C10244,12.0,0,3,3,0,0,5,0,2,3,0,10,10,10,0,0,0,5
C10245,12.0,5,1,0,1,3,6,3,3,2,1,10,5,0,5,3,0,4
C10246,12.0,0,1,1,1,1,6,3,2,1,1,10,4,1,3,1,0,0
C10247,12.0,1,1,0,1,1,5,1,1,2,1,6,5,0,5,2,0,3
C10248,12.0,3,1,1,1,0,3,2,3,2,0,10,6,2,4,0,0,0
C10249,12.0,0,3,3,0,5,5,0,3,1,1,9,3,3,0,3,0,4
C10250,12.0,1,3,3,2,0,0,0,1,3,0,7,5,1,4,0,10,2
C10251,12.0,3,5,0,2,0,5,5,1,8,0,10,10,10,10,0,2,5
C10252,11.0,2,2,2,0,0,5,1,1,1,0,10,1,1,0,0,0,0
C10253,12.0,3,0,3,3,0,3,0,3,0,0,10,10,7,10,0,0,5
C10254,12.0,1,1,0,1,0,3,1,1,1,0,4,3,0,2,0,2,3
C10255,12.0,1,3,3,2,0,6,3,1,0,0,10,10,6,8,0,0,5
C10256,12.0,1,1,0,1,0,3,1,1,3,0,10,10,0,10,0,0,2
C10257,12.0,5,1,0,1,6,6,6,3,3,3,10,10,0,10,5,0,4
C10258,12.0,5,0,0,1,0,6,3,3,7,0,10,10,10,5,0,0,5
C10259,12.0,3,3,3,0,0,0,0,2,3,2,10,3,3,0,4,0,0
C10260,12.0,2,2,0,2,0,2,3,3,3,0,10,10,0,10,0,1,2
C10261,12.0,1,1,0,1,0,3,1,1,1,0,10,5,0,5,0,3,2
C10262,12.0,1,3,3,0,0,6,3,1,3,0,10,10,10,0,0,10,5
C10263,12.0,5,0,0,0,1,5,3,3,0,1,10,0,0,0,2,0,1
C10265,11.0,1,1,0,1,0,3,1,1,1,0,4,4,0,3,0,5,3
C10266,12.0,1,1,1,0,0,5,1,1,1,0,9,1,1,0,0,0,0
C10267,12.0,3,3,3,1,2,6,2,1,5,2,10,9,8,5,3,0,5
C10269,12.0,5,3,0,3,0,6,3,3,7,0,10,10,0,10,0,0,2
C10270,12.0,3,0,0,0,3,3,3,2,0,1,10,0,0,0,2,1,1
C10271,12.0,3,0,0,0,0,5,0,2,1,0,9,2,2,0,0,0,0
C10272,12.0,3,0,3,3,1,0,3,2,7,1,10,10,9,10,1,0,5
C10273,12.0,3,5,0,3,1,3,0,3,7,1,10,10,9,8,1,1,5
C10274,6.0,5,5,0,0,5,5,0,5,7,3,10,10,5,9,5,0,4
C10275,12.0,2,1,1,1,0,5,3,1,2,0,8,5,1,5,0,0,0
C10276,12.0,5,0,1,0,0,5,5,5,3,0,10,10,1,10,0,0,4
C10277,12.0,3,3,2,3,0,5,3,1,0,0,10,10,5,10,0,0,5
C10278,12.0,3,2,2,0,0,5,2,2,3,0,10,10,10,0,0,0,5
C10279,12.0,1,2,2,0,0,5,2,1,1,0,10,2,2,0,0,1,0
C10280,12.0,3,5,5,1,3,6,6,2,0,1,10,10,8,3,1,1,5
C10281,12.0,2,0,0,3,1,5,0,1,7,1,10,10,10,10,1,10,5
C10282,12.0,0,1,1,0,3,5,2,2,1,1,10,2,2,0,5,0,1
C10283,12.0,1,3,3,1,0,6,3,1,5,0,10,10,5,8,0,9,5
C10284,12.0,5,6,6,5,0,6,6,3,7,0,10,10,10,10,0,1,5
C10285,12.0,5,1,1,1,6,6,6,3,5,3,10,10,1,10,4,1,4
C10286,12.0,1,1,1,0,0,3,1,1,1,0,2,1,1,0,0,0,3
C10287,12.0,3,1,1,0,1,3,1,2,1,1,10,3,3,0,1,0,0
C10288,12.0,1,1,1,0,0,5,0,1,1,0,3,1,1,0,0,0,3
C10289,12.0,3,1,0,1,0,6,5,2,2,0,10,8,0,7,0,5,2
C10290,12.0,3,3,2,3,3,5,2,1,3,1,10,10,2,10,1,0,5
C10291,12.0,5,0,0,1,0,6,0,3,3,0,10,5,5,4,0,0,0
C10292,12.0,3,1,0,1,1,2,2,3,3,1,10,10,0,10,1,0,2
C10293,12.0,2,1,1,1,0,5,2,1,2,0,10,6,1,5,0,0,0
C10294,12.0,3,3,2,3,0,3,3,3,7,0,10,10,3,10,0,0,5
C10295,12.0,1,0,0,0,2,3,3,1,0,1,9,0,0,0,1,2,1
C10296,12.0,0,0,0,0,5,5,5,3,0,4,10,0,0,0,7,1,1
C10297,12.0,3,0,0,0,2,3,2,2,0,1,10,0,0,0,1,0,1
C10298,12.0,3,1,1,1,3,0,2,3,3,1,10,6,6,1,3,0,4
C10299,12.0,1,2,2,0,0,5,3,1,4,0,7,5,5,0,0,5,0
C10300,12.0,5,0,0,0,2,5,3,3,0,1,10,0,0,0,2,0,1
C10301,12.0,1,3,2,3,0,5,3,1,0,0,10,10,10,7,0,10,5
C10302,12.0,5,1,1,1,3,5,3,3,2,2,10,5,3,2,2,0,4
C10303,12.0,0,3,3,0,0,0,2,2,1,0,10,2,2,0,0,0,0
C10304,12.0,0,0,0,0,1,0,3,3,0,2,10,0,0,0,6,0,1
C10305,12.0,1,1,0,1,0,5,1,1,3,0,10,10,0,10,0,4,2
C10306,12.0,2,5,3,0,0,3,5,1,0,0,9,8,3,8,0,10,5
C10307,12.0,3,1,1,0,3,5,3,1,1,1,10,2,2,0,3,0,1
C10308,12.0,5,0,0,0,0,6,3,3,0,1,10,0,0,0,1,0,1
C10309,12.0,3,2,2,0,0,3,3,2,3,0,10,10,10,0,0,0,5
C10310,12.0,1,3,3,0,1,1,3,1,3,1,10,7,7,0,1,7,5
C10311,12.0,0,2,2,0,3,0,3,3,3,2,10,3,3,0,2,0,0
C10312,12.0,3,3,3,3,0,6,5,3,5,0,10,10,3,10,0,1,5
C10313,12.0,0,0,0,0,3,5,5,2,0,1,10,0,0,0,1,0,1
C10314,12.0,1,3,3,1,0,3,1,1,3,0,8,6,5,3,0,0,0
C10315,12.0,5,0,0,0,5,6,3,3,0,2,10,0,0,0,5,0,1
C10316,12.0,1,3,1,3,0,0,3,1,0,0,10,10,2,10,0,10,2
C10317,12.0,1,3,1,3,0,5,3,1,5,0,10,10,6,7,0,7,5
C10318,12.0,1,3,2,2,0,0,3,1,4,0,10,10,1,10,0,9,2
C10319,11.0,3,0,0,0,3,0,1,2,0,1,10,0,0,0,2,0,1
C10320,12.0,2,1,1,1,0,3,0,1,3,0,10,7,2,6,0,0,0
C10321,12.0,1,1,1,1,0,6,2,1,3,0,10,10,10,1,0,10,5
C10322,12.0,3,3,3,2,3,3,3,2,0,2,10,10,10,10,3,0,4
C10323,12.0,2,5,3,3,0,5,0,2,7,0,10,10,10,10,0,0,5
C10324,12.0,2,0,0,0,1,2,2,1,0,1,10,0,0,0,4,0,1
C10325,12.0,3,0,0,0,0,5,3,2,0,1,10,0,0,0,2,0,1
C10326,11.0,1,0,0,0,2,2,1,1,0,2,10,0,0,0,4,0,1
C10327,7.0,0,0,0,0,5,5,2,3,0,1,9,0,0,0,2,0,1
C10328,12.0,2,1,1,0,0,3,1,1,2,0,10,9,9,0,0,0,0
C10329,12.0,1,1,0,1,0,3,1,1,3,0,10,10,0,10,0,2,2
